"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_0617600","stevor","IDA","PMID:31363031","N/A","PF3D7_0617600.1"
"PF3D7_0631500","exported protein family 3","IDA","PMID:23517413","N/A","PF3D7_0631500.1"
"PF3D7_0631800","rifin","IDA","PMID:10430943","N/A","PF3D7_0631800.1"
"PF3D7_0631900","stevor","IDA","PMID:31363031","N/A","PF3D7_0631900.1"
"PF3D7_0632000","rifin","IDA","PMID:25751816","N/A","PF3D7_0632000.1"
"PF3D7_0632100","rifin","IDA","PMID:25751816","N/A","PF3D7_0632100.1"
"PF3D7_0632200","rifin","IDA","PMID:25751816","N/A","PF3D7_0632200.1"
"PF3D7_0632400","rifin","IDA","PMID:25751816","N/A","PF3D7_0632400.1"
"PF3D7_0632700","rifin","IDA","PMID:25751816","N/A","PF3D7_0632700.1"
"PF3D7_0701500","exported protein family 3","IDA","PMID:23517413","N/A","PF3D7_0701500.1"
"PF3D7_0701600","Pfmc-2TM Maurer's cleft two transmembrane protein","IDA","PMID:15140830","N/A","PF3D7_0701600.1"
"PF3D7_0701800","rifin","IDA","PMID:25751816","N/A","PF3D7_0701800.1"
"PF3D7_0701900","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0701900.1"
"PF3D7_0702000","Plasmodium exported protein (hyp12), unknown function","RCA","PMID:16507167","N/A","PF3D7_0702000.1"
"PF3D7_0713000","rifin","IDA","PMID:25751816","N/A","PF3D7_0713000.1"
"PF3D7_0730800","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0730800.1"
"PF3D7_0730900","EMP1-trafficking protein","IDA","PMID:18614010","N/A","PF3D7_0730900.1"
"PF3D7_0731200","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0731200.1"
"PF3D7_0731300","Plasmodium exported protein (PHISTb), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_0731300.1"
"PF3D7_0731700","Plasmodium exported protein (hyp9), unknown function","RCA","PMID:16507167","N/A","PF3D7_0731700.1"
"PF3D7_0732000","stevor","N/A","N/A","N/A","PF3D7_0732000.1"
"PF3D7_0732200","rifin","IDA","PMID:25751816","N/A","PF3D7_0732200.1"
"PF3D7_0732400","rifin","IDA","PMID:25751816","N/A","PF3D7_0732400.1"
"PF3D7_0732700","rifin","IDA","PMID:10430943","N/A","PF3D7_0732700.1"
"PF3D7_0732900","rifin","IDA","PMID:25751816","N/A","PF3D7_0732900.1"
"PF3D7_0800500","rifin","IDA","PMID:25751816","N/A","PF3D7_0800500.1"
"PF3D7_0800800","Plasmodium exported protein (hyp7), unknown function","RCA","PMID:16507167","N/A","PF3D7_0800800.1"
"PF3D7_0808800","rifin","IDA","PMID:25751816","N/A","PF3D7_0808800.1"
"PF3D7_0808900","rifin","IDA","PMID:25751816","N/A","PF3D7_0808900.1"
"PF3D7_0830600","Plasmodium exported protein (PHISTc), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_0830600.1"
"PF3D7_0900200","rifin","IDA","PMID:25751816","N/A","PF3D7_0900200.1"
"PF3D7_0900300","rifin","IDA","PMID:10430943","N/A","PF3D7_0900300.1"
"PF3D7_0900400","rifin","IDA","PMID:25751816","N/A","PF3D7_0900400.1"
"PF3D7_0900600","rifin","IDA","PMID:25751816","N/A","PF3D7_0900600.1"
"PF3D7_0900700","rifin","IDA","PMID:25751816","N/A","PF3D7_0900700.1"
"PF3D7_0900900","stevor","N/A","N/A","N/A","PF3D7_0900900.1"
"PF3D7_0901000","rifin","IDA","PMID:10430943","N/A","PF3D7_0901000.1"
"PF3D7_0901100","rifin","IDA","PMID:25751816","N/A","PF3D7_0901100.1"
"PF3D7_0901300","rifin","IDA","PMID:25751816","N/A","PF3D7_0901300.1"
"PF3D7_0901400","rifin","IDA","PMID:25751816","N/A","PF3D7_0901400.1"
"PF3D7_0901500","rifin","IDA","PMID:25751816","N/A","PF3D7_0901500.1"
"PF3D7_0901600","stevor","N/A","N/A","N/A","PF3D7_0901600.1"
"PF3D7_0902200","serine/threonine protein kinase, FIKK family","IDA","PMID:17181785","N/A","PF3D7_0902200.1"
"PF3D7_0936200","Plasmodium exported protein (hyp11), unknown function","RCA","PMID:16507167","N/A","PF3D7_0936200.1"
"PF3D7_0936500","virulence-associated protein 1","IDA","PMID:25703704","N/A","PF3D7_0936500.1"
"PF3D7_0936900","Plasmodium exported protein (PHISTb), unknown function, pseudogene","RCA","PMID:16507167","N/A","PF3D7_0936900.1"
"PF3D7_0937100","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0937100.1"
"PF3D7_0937300","rifin","IDA","PMID:25751816","N/A","PF3D7_0937300.1"
"PF3D7_0937500","rifin","IDA","PMID:25751816","N/A","PF3D7_0937500.1"
"PF3D7_0937700","rifin","IDA","PMID:25751816","N/A","PF3D7_0937700.1"
"PF3D7_1000300","rifin","IDA","PMID:10430943","N/A","PF3D7_1000300.1"
"PF3D7_1000600","rifin","IDA","PMID:10430943","N/A","PF3D7_1000600.1"
"PF3D7_1001300","Plasmodium exported protein (PHISTa), unknown function","IDA","PMID:25106850","N/A","PF3D7_1001300.1"
"PF3D7_1001400","exported lipase 1","IDA","PMID:27795395","N/A","PF3D7_1001400.1"
"PF3D7_1001900","Plasmodium exported protein (hyp16), unknown function","RCA","PMID:16507167","N/A","PF3D7_1001900.1"
"PF3D7_1002000","Plasmodium exported protein (hyp2), unknown function","RCA","PMID:16507167","N/A","PF3D7_1002000.1"
"PF3D7_1002100","EMP1-trafficking protein","IDA","PMID:18614010","N/A","PF3D7_1002100.1"
"PF3D7_1016300","GBP130 protein","IDA","PMID:3512098","N/A","PF3D7_1016300.1"
"PF3D7_1016400","serine/threonine protein kinase, FIKK family","IDA","PMID:17181785","N/A","PF3D7_1016400.1"
"PF3D7_1016800","Plasmodium exported protein (PHISTc), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_1016800.1"
"PF3D7_1018300","peptidase, putative","ISM","N/A","InterPro:IPR021109","PF3D7_1018300.1"
"PF3D7_1040000","rifin","IDA","PMID:25751816","N/A","PF3D7_1040000.1"
"PF3D7_1040200","stevor","IDA","PMID:31363031","N/A","PF3D7_1040200.1"
"PF3D7_1040300","rifin","IDA","PMID:25751816","N/A","PF3D7_1040300.1"
"PF3D7_1040400","rifin","IDA","PMID:10430943","N/A","PF3D7_1040400.1"
"PF3D7_1040500","rifin","IDA","PMID:25751816","N/A","PF3D7_1040500.1"
"PF3D7_1040600","rifin","IDA","PMID:10430943","N/A","PF3D7_1040600.1"
"PF3D7_1040700","rifin","IDA","PMID:25751816","N/A","PF3D7_1040700.1"
"PF3D7_1040800","rifin","IDA","PMID:10430943","N/A","PF3D7_1040800.1"
"PF3D7_1041000","rifin","IDA","PMID:25751816","N/A","PF3D7_1041000.1"
"PF3D7_1041100","rifin","IDA","PMID:10430943","N/A","PF3D7_1041100.1"
"PF3D7_1100300","rifin","IDA","PMID:25751816","N/A","PF3D7_1100300.1"
"PF3D7_1100400","rifin","IDA","PMID:10430943","N/A","PF3D7_1100400.1"
"PF3D7_1100500","rifin","IDA","PMID:25751816","N/A","PF3D7_1100500.1"
"PF3D7_1101100","rifin","IDA","PMID:25751816","N/A","PF3D7_1101100.1"
"PF3D7_1101300","rifin","IDA","PMID:25751816","N/A","PF3D7_1101300.1"
"PF3D7_1101700","Pfmc-2TM Maurer's cleft two transmembrane protein","IDA","PMID:15140830","N/A","PF3D7_1101700.1"
"PF3D7_1102600","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_1102600.1"
"PF3D7_1148700","Plasmodium exported protein (PHISTc), unknown function","IDA","PMID:27777305","N/A","PF3D7_1148700.1"
"PF3D7_1149100","Plasmodium exported protein, unknown function","RCA","PMID:16507167, PMID:16507167","N/A","PF3D7_1149100.1, PF3D7_1149100.2"
"PF3D7_1149800","rifin","IDA","PMID:10430943","N/A","PF3D7_1149800.1"
"PF3D7_1149900","stevor","N/A","N/A","N/A","PF3D7_1149900.1"
"PF3D7_1200200","rifin","IDA","PMID:25751816","N/A","PF3D7_1200200.1"
"PF3D7_1200300","rifin","IDA","PMID:10430943","N/A","PF3D7_1200300.1"
"PF3D7_1201000","Plasmodium exported protein (PHISTb), unknown function","IDA","PMID:27777305","N/A","PF3D7_1201000.1"
"PF3D7_1212100","peripheral plastid protein 1, putative","ISS","PMID:22144892","UniProt:G9F9Q3","PF3D7_1212100.1"
"PF3D7_1234400","microgamete surface protein MiGS, putative","ISO","PMID:29316140","GeneDB:PY17X_1451500","PF3D7_1234400.1"
"PF3D7_1253000","gametocyte erythrocyte cytosolic protein","IDA","PMID:21965515","N/A","PF3D7_1253000.1"
"PF3D7_1253300","Plasmodium exported protein (PHISTa), unknown function, pseudogene","ISM","N/A","Pfam:PF09687","PF3D7_1253300.1"
"PF3D7_1253700","rifin","IDA","PMID:25751816","N/A","PF3D7_1253700.1"
"PF3D7_1254000","rifin","IDA","PMID:10430943","N/A","PF3D7_1254000.1"
"PF3D7_1254100","stevor","IDA","PMID:31363031","N/A","PF3D7_1254100.1"
"PF3D7_1254200","rifin","IDA","PMID:25751816","N/A","PF3D7_1254200.1"
"PF3D7_1254300","stevor","N/A","N/A","N/A","PF3D7_1254300.1"
"PF3D7_1254400","rifin","IDA","PMID:25751816","N/A","PF3D7_1254400.1"
"PF3D7_1254600","stevor","N/A","N/A","N/A","PF3D7_1254600.1"
"PF3D7_1254700","rifin","IDA","PMID:25751816","N/A","PF3D7_1254700.1"
"PF3D7_1254800","rifin","IDA","PMID:25751816","N/A","PF3D7_1254800.1"
"PF3D7_1255100","rifin","IDA","PMID:25751816","N/A","PF3D7_1255100.1"
"PF3D7_1300200","rifin","IDA","PMID:25751816","N/A","PF3D7_1300200.1"
"PF3D7_1300400","rifin","IDA","PMID:25751816","N/A","PF3D7_1300400.1"
"PF3D7_1300500","rifin","IDA","PMID:25751816","N/A","PF3D7_1300500.1"
"PF3D7_1300600","rifin","IDA","PMID:10430943","N/A","PF3D7_1300600.1"
"PF3D7_1300900","stevor","N/A","N/A","N/A","PF3D7_1300900.1"
